""		2018	2019	2020	2021	2022
COVID-19		39393	43591	52131	51742	65853	151826	187705	143776	90655	92884	41	919597
Creutzfeldt Jakob disease		0	0	0	0	0	1	0	0	3	2	0	6
Cryptosporidiosis		221	110	44	42	45	52	29	8	8	7	0	566
Cytomegalovirus infection													
"(congenital)"		22	0	0	0	0	0	0	1	0	0	1	24
Dengue fever		0	0	0	0	0	2	2	1	3	1	0	9
Giardiasis		33	17	8	6	16	40	41	27	27	46	0	261
Gonorrhoea		*	0	0	305	1053	1650	746	216	86	16	1	4075
Haemophilus influenzae disease													
"(invasive)"		22	7	2	2	1	3	5	1	5	21	0	69
Hepatitis A (acute)		2	9	11	7	5	11	9	3	5	4	0	66
Hepatitis B (acute and chronic)		1	0	1	15	26	121	195	101	34	23	0	517
Hepatitis C		1	1	1	3	14	85	151	115	69	42	1	483
Hepatitis E		0	0	0	0	3	3	10	12	8	3	0	39
Herpes simplex (genital)		*	0	*	176	489	519	226	110	55	40	2	1619
Human immunodeficiency virus													
infection		*	*	*	6	48	331	293	150	45	8	1	889
Influenza		1058	670	390	615	702	1172	1046	890	976	2904	3	10426
Legionellosis		1	0	0	0	0	1	5	3	7	9	0	26
Leptospirosis		0	0	0	2	0	2	3	3	1	2	0	13
Listeriosis		2	0	0	0	0	0	0	1	0	15	0	18
Lymphogranuloma venereum		0	0	0	1	0	4	13	1	1	0	0	20
Malaria		0	1	4	5	3	6	6	18	9	0	1	53
Meningococcal disease		7	3	3	9	1	0	1	2	1	4	0	31
mpox		0	0	0	3	8	95	78	28	14	3	0	229
Mumps		9	9	6	10	6	7	16	15	10	6	1	95
Noroviral infection	^	417	60	32	17	24	42	37	31	33	297	0	990
Paratyphoid		2	1	0	0	1	3	0	1	0	0	0	8
Pertussis		3	1	2	0	0	0	1	0	0	0	0	7
Respiratory syncytial virus infection	^	3941	257	105	90	84	209	229	264	365	1584	2	7130
Rotavirus infection	^	351	90	5	1	0	4	0	2	7	7	0	467
Salmonellosis		72	24	15	10	18	50	31	51	31	40	0	342
Shigellosis		18	15	1	4	7	41	24	32	8	7	0	157
Streptococcus group A infection													
"(invasive)"		15	12	5	3	2	8	9	7	13	24	1	99
Streptococcus group B infection													
"(invasive)"		29	0	0	0	0	0	1	0	0	0	0	30
Streptococcus pneumoniae infection													
"(invasive)"		56	13	3	5	9	16	26	32	52	163	0	375
""	"0-4yrs"	"5-9yrs"	"10-14yrs"	"15-19yrs"	"20-24yrs"	"25-34yrs"	"35-44yrs"	"45-54yrs"	"55-64yrs"	"65+yrs"	"Unknown"	Total	
Syphilis		*	0	*	7	98	350	259	119	52	8	0	895
Toxoplasmosis		0	0	0	0	1	2	5	3	1	4	0	16
Trichomoniasis		0	0	0	3	16	26	19	4	2	1	0	71
Tuberculosis		3	3	0	9	15	65	43	24	30	29	0	221
Typhoid		4	7	7	2	1	6	4	0	0	0	0	31
"Verotoxigenic Escherichia coliinfection"		336	75	34	48	40	75	67	61	62	206	2	1006
Viral encephalitis		0	0	0	0	1	3	6	2	2	23	0	37
Viral meningitis		209	3	3	7	11	28	30	7	4	17	0	319
