""		2019	2020	2021	2022	2023
COVID-19		1697	259	248	479	953	3247	3954	3801	4001	16945	5	35589
Creutzfeldt Jakob disease		0	0	0	0	0	0	1	0	1	17	0	19
Cryptosporidiosis		328	136	47	61	44	102	105	22	11	14	0	870
Cytomegalovirus infection													
"(congenital)"		15	1	0	0	0	0	0	1	0	0	0	17
Dengue fever		1	0	0	1	4	10	2	2	0	0	0	20
Giardiasis		28	5	10	4	13	62	51	57	45	49	0	324
Gonorrhoea		0	*	*	649	1930	2459	1225	356	143	40	0	6804
Haemophilus influenzae disease													
"(invasive)"		22	4	2	1	1	2	2	4	6	29	0	73
Hepatitis A (acute)		1	1	12	3	7	9	6	4	1	2	0	46
Hepatitis B (acute and chronic)		0	0	1	7	25	156	221	120	42	15	0	587
Hepatitis C		0	1	2	1	15	93	159	128	93	43	0	535
Hepatitis E		0	0	0	0	0	7	10	9	13	7	0	46
Herpes simplex (genital)		*	*	*	169	443	596	245	119	65	42	1	1686
Human immunodeficiency virus													
infection		*	*	*	5	43	303	313	165	63	12	0	911
Influenza		1534	992	533	640	561	1275	1262	842	916	3267	1	11823
Legionellosis		0	0	0	0	0	1	4	4	7	18	0	34
Leptospirosis		0	1	1	2	3	6	10	8	11	2	0	44
Listeriosis		0	0	0	0	0	0	1	2	1	14	0	18
Lyme disease		0	1	1	0	0	0	2	0	2	0	0	6
Lymphogranuloma venereum		0	0	0	0	2	16	13	4	2	0	0	37
Malaria		0	1	5	5	7	17	14	19	17	4	0	89
Meningococcal disease		12	3	0	6	4	2	2	2	4	7	0	42
Mpox infection		0	0	0	0	1	6	4	3	1	0	0	15
Mumps		24	21	14	12	4	14	17	10	7	10	0	133
Noroviral infection	^	404	55	35	17	11	37	39	48	88	629	0	1363
Paratyphoid		1	1	0	1	1	4	0	2	1	1	0	12
Pertussis		10	1	0	2	1	0	2	0	2	0	0	18
Respiratory syncytial virus infection	^	5016	306	89	41	62	157	205	206	333	1413	0	7828
Rotavirus infection	^	442	87	8	3	1	1	3	2	0	13	0	560
Salmonellosis		62	18	13	17	28	64	48	45	42	68	1	406
Shigellosis		20	10	2	2	15	73	43	25	20	14	1	225
Streptococcus group A infection													
"(invasive)"		113	80	18	12	9	27	50	44	39	140	0	532
""	"0-4yrs"	"5-9yrs"	"10-14yrs"	"15-19yrs"	"20-24yrs"	"25-34yrs"	"35-44yrs"	"45-54yrs"	"55-64yrs"	"65+yrs"	"Unknown"	Total	
"Streptococcus group B infection(invasive)"		36	0	0	0	0	0	0	0	0	0	0	36
"Streptococcus pneumoniae infection(invasive)"		41	24	5	4	4	12	31	47	56	209	0	433
Syphilis		0	0	0	6	73	361	285	111	67	8	0	911
Toxoplasmosis		0	0	0	0	1	4	5	3	3	4	0	20
Trichomoniasis		0	0	0	10	15	19	22	3	1	0	0	70
Tuberculosis		2	1	5	6	22	52	42	34	19	40	0	223
Typhoid		1	2	0	2	2	6	2	0	0	0	0	15
"Verotoxigenic Escherichia coliinfection"		264	61	36	26	41	61	51	63	69	240	0	912
Viral encephalitis		10	1	2	0	3	7	9	2	11	17	0	62
Viral meningitis		188	6	1	16	7	37	34	6	12	11	0	318
